adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",,44918,tt1640571,en,Titanic II,"On the 100th anniversary of the original voyage, a modern luxury liner christened ""Titanic 2,"" follows the path of its namesake. But when a tsunami hurls an ice berg into the new ship's path, the passengers and crew must fight to avoid a similar fate.",4.359886,/tUSMxX60DGkTIoiDnUNNrJLtP3t.jpg,"[{'name': 'The Global Asylum', 'id': 1371}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-08-07,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"100 years later, lightning strikes twice",Titanic 2,False,3.4,55
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,63990,tt1799110,en,Joanna,"In an era in which it is difficult for the true emotion and excitement, Feliks Falk found the key to the human heart. How many of us love? How much we are able to self-sacrifice? Is there a price that can not pay, when it comes to life of a loved one? Are we really as good as we think about yourself? In Joanna's life is given forever. Today's friend suddenly becomes an enemy. Reflex heart turns into a curse. When one of the lonely woman takes care of little girls-czynkę do not know that from now on, her life will be sweet - bitter taste. Fate in this film is everything. Allows people to find that in a moment blow and lead to separation. After-forgives love, for which you have to pay a huge price. Fulfills the promise of happiness loneliness, brittle as glass.",0.37667,/ucQ6WrQSPT9N5Vqf7wtJ7C600vB.jpg,"[{'name': 'ITI Cinema', 'id': 68040}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",2010-11-26,0,88.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Joanna,False,7.0,2
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,28669,tt0059635,en,Rasputin: The Mad Monk,"Rasputin, a crazed and debauched monk wreaks havoc at the local inn one night, chopping off the hand of one of the drinkers. As the bitter locals plan their revenge, the evil Rasputin works his satanic power over the beautiful women who serve at the Tsar's palace. Even the Tsarina herself is seduced by his evil ways and, as his influence begins to dominate government policy, there is only one course of action left... to destroy him before he destroys them all.",1.921686,/dRanLQi2WkTrqHvTz5TiGniOkKb.jpg,"[{'name': 'Seven Arts Productions', 'id': 516}, {'name': 'Hammer Film Productions', 'id': 1314}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1966-03-06,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ladies' Man - And Lady Killer!,Rasputin: The Mad Monk,False,5.6,25
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,188421,tt1738321,en,A History of Horror with Mark Gatiss,"Mark Gatiss examines the history of the horror film, from classic Hollywood monsters to Hammer's glory days and beyond.",0.48845,/tvt41qD1YjJs0eGUF38MI3Wab1o.jpg,[],[],2010-10-25,0,177.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,A History of Horror with Mark Gatiss,False,9.0,3
False,,7500000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",,39164,tt0085693,en,House of the Long Shadows,"An American writer goes to a remote Welsh manor on a $20,000 bet: can he write a classic novel like ""Wuthering Heights"" in twenty-four hours? Upon his arrival, however, the writer discovers that the manor, thought empty, actually has several, rather odd, inhabitants.",1.185515,/uKi7gtXhqjR2uCOQsJ8KuuM7lsT.jpg,"[{'name': 'London-Cannon Films', 'id': 6231}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1983-06-17,0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,House of the Long Shadows,False,6.1,18
False,"{'id': 123720, 'name': 'Frankenstein (Hammer Series)', 'poster_path': '/fKiok5TbCKWRgfNd4Rj8gPMzGJp.jpg', 'backdrop_path': '/gl9Gi60C9WYVkObOMll19OROhMC.jpg'}",0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,3104,tt0061683,en,Frankenstein Created Woman,"A deformed tormented girl drowns herself after her lover is framed for murder and guillotined. Baron Frankenstein, experimenting with the transfer of souls, places the boy's soul into her body, bringing Christina back to life. Driven by revenge, she carries out a violent retribution on those responsible for both deaths.",2.302582,/s95WohDSxZ0WyCQn8fzS92ZN8Xv.jpg,"[{'name': 'Hammer Film Productions', 'id': 1314}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1967-03-15,0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Now Frankenstein has created a beautiful woman with the soul of the Devil!,Frankenstein Created Woman,False,5.9,33
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 99, 'name': 'Documentary'}]",,20776,tt0321359,en,Return to the Batcave: The Misadventures of Adam and Burt,"Adam West and Burt Ward are taken on a crazy adventure when the Batmobile is stolen from a car museum and they must track down the thief and return it. After solving a puzzle, they realize that the clues to finding the fiend who stole the Batmobile are hidden in their past. During the search, they flashback to their three seasons in tights, including their many sexual escapades.",1.348822,/9jWkvwp9DNpUGAi57MiRwp3iYLJ.jpg,"[{'name': 'Artisan Entertainment', 'id': 2188}, {'name': 'The Kaufman Company', 'id': 17885}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-03-09,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Holy reunion, Batman!",Return to the Batcave: The Misadventures of Adam and Burt,False,5.8,14
False,"{'id': 37261, 'name': 'The Carry On Collection', 'poster_path': '/2P0HNrYgKDvirV8RCdT1rBSJdbJ.jpg', 'backdrop_path': '/38tF1LJN7ULeZAuAfP7beaPMfcl.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,24568,tt0061680,en,Follow That Camel,"Bertram Oliphant West (also known as Bo West) wants to clear his unjustly smeared reputation. He joins the Foreign Legion, with Simpson his manservant in tow. But the fort they get posted to is full of eccentric legionnaires, and there is trouble brewing with the locals too. Unbeknown to Bo, his lady love has followed him in disguise...",1.114848,/8nifhAeOQoTJReWuJTTnsUn2pBa.jpg,"[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Adder', 'id': 1847}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1967-09-01,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Carry On Follow That Camel,False,6.1,19
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",,43085,tt0770739,en,Dead and Deader,"Lt. Bobby Quinn is a Special Forces commando killed during a recon mission in the Cambodian jungle. But when Quinn interrupts his own stateside autopsy, he discovers that the rest of his dead squad has been resurrected with a ravenous apetite for human flesh. Now with the help of a wisecracking cook and a sexy film geek, the part-zombie Quinn must stop the plague before it can infect the entire nation. Who holds the shocking secret behind this blood-crazed carnage? And what happens when Quinn stops gnawing on raw steak and starts chomping on the hot chick?",5.015147,/ofvuIqiOmeCbPAV8qUfSPDX5iy7.jpg,"[{'name': 'Mindfire Entertainment', 'id': 8068}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-12-16,0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Dead and Deader,False,5.8,10
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,100671,tt0065217,en,The Witchmaker,A psychic researcher and his assistants investigate a series of murders of beautiful young women.,0.175253,/wIZpvR0GmCCyF2WmIeRxkHnICNz.jpg,"[{'name': 'LQ/JAF', 'id': 1814}, {'name': 'Las Cruces-Arrow', 'id': 9348}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1969-05-01,0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They Came To Investigate Witchcraft ... and found TERROR!,The Witchmaker,False,5.0,3
